Timestamp,Object,Confidence
2026-08-13 17:50:06.654906,bus,0.37
2026-08-13 17:50:06.654906,bus,0.35
2026-08-13 17:50:06.654906,bus,0.33
2026-08-13 17:50:06.655911,bus,0.31
2026-08-13 17:50:06.655911,car,0.31
2026-08-13 17:50:06.655911,car,0.28
2026-08-13 17:50:06.764992,car,0.76
2026-08-13 17:50:06.764992,car,0.74
2026-08-13 17:50:06.764992,car,0.69
2026-08-13 17:50:06.764992,car,0.69
2026-08-13 17:50:06.764992,car,0.64
2026-08-13 17:50:06.764992,car,0.57
2026-08-13 17:50:06.764992,car,0.53
2026-08-13 17:50:06.764992,car,0.52
2026-08-13 17:50:06.764992,car,0.51
2026-08-13 17:50:06.764992,car,0.51
2026-08-13 17:50:06.764992,bus,0.49
2026-08-13 17:50:06.764992,car,0.45
2026-08-13 17:50:06.764992,car,0.44
2026-08-13 17:50:06.764992,car,0.38
2026-08-13 17:50:06.764992,bus,0.36
2026-08-13 17:50:06.764992,bus,0.34
2026-08-13 17:50:06.764992,bus,0.32
2026-08-13 17:50:06.764992,car,0.3
2026-08-13 17:50:06.764992,car,0.3
2026-08-13 17:50:06.764992,bus,0.27
2026-08-13 17:50:06.764992,bus,0.25
2026-08-13 17:50:06.891127,car,0.77
2026-08-13 17:50:06.891127,car,0.76
2026-08-13 17:50:06.891127,car,0.68
2026-08-13 17:50:06.891127,car,0.66
2026-08-13 17:50:06.891127,car,0.64
2026-08-13 17:50:06.891127,car,0.6
2026-08-13 17:50:06.891127,car,0.57
2026-08-13 17:50:06.891127,car,0.53
2026-08-13 17:50:06.891127,car,0.51
2026-08-13 17:50:06.891127,car,0.5
2026-08-13 17:50:06.893133,bus,0.47
2026-08-13 17:50:06.893133,car,0.43
2026-08-13 17:50:06.893133,car,0.43
2026-08-13 17:50:06.893133,car,0.4
2026-08-13 17:50:06.893133,bus,0.37
2026-08-13 17:50:06.893133,bus,0.32
2026-08-13 17:50:06.893133,car,0.26
2026-08-13 17:50:06.893133,car,0.25
2026-08-13 17:50:07.013925,car,0.78
2026-08-13 17:50:07.013925,car,0.75
2026-08-13 17:50:07.013925,car,0.74
2026-08-13 17:50:07.013925,car,0.68
2026-08-13 17:50:07.013925,car,0.64
